query,ground_truth,top_ids,correct,rank_of_correct
Where does Bhima urge Yudhishthira to fight despite their misfortunes?,3.35,"['7.127', '1.162', '15.13']",False,
Which section shows Bhimasena expressing frustration at Yudhishthira’s patience?,3.35,"['7.127', '15.12', '1.162']",False,
Which chapter records Vyasa teaching Pratismriti Vidya to Yudhishthira?,3.36,"['12.328', '12.321', '14.3']",False,
Where does Vyasa meet the Pandavas and guide them before returning to Kamyakavana?,3.36,"['3.8', '3.7', '15.24']",False,
Where does Arjuna travel to Indrakil mountain and meet Indra?,3.37,"['3.140', '14.83', '1.215']",False,
Which section begins the Kairata Parva and Arjuna’s quest for divine weapons?,3.37,"['3.38', '7.81', '8.16']",False,
Which chapter describes Arjuna’s severe penance to please Lord Shiva?,3.38,"['8.71', '16.8', '3.38']",True,3.0
Where do sages discuss Arjuna’s tapasya with Lord Shankar?,3.38,"['14.16', '6.122', '3.38']",True,3.0
Where is Arjuna’s stotra or hymn in praise of Lord Shiva found?,3.39,"['6.23', '3.168', '3.165']",False,
Which section narrates Arjuna’s prayer to Lord Shiva before receiving a boon?,3.39,"['6.23', '3.168', '6.122']",False,
Which chapter narrates Shiva granting a boon to Arjuna?,3.40,"['3.168', '3.38', '3.40']",True,3.0
Where does Lord Shankar bless Arjuna with divine weapons and depart?,3.40,"['6.122', '7.81', '7.19']",False,
Which section describes the Dikpalas gifting divine weapons to Arjuna?,3.41,"['1.234', '8.16', '8.38']",False,
Where is Arjuna instructed by Indra to ascend to heaven?,3.41,"['3.168', '3.174', '3.249']",False,
Where does Arjuna ascend to heaven with Matali as his charioteer?,3.42,"['3.165', '3.42', '3.168']",True,2.0
Which chapter describes Arjuna’s journey from the Himalayas to Indraloka?,3.42,"['14.83', '7.90', '2.27']",False,
Where is Arjuna’s meeting with Devraj Indra described?,3.43,"['8.65', '8.71', '7.84']",False,
Which chapter mentions Indra sending a maiden to Kundinpur?,3.43,"['5.12', '3.224', '1.124']",False,
Which section describes Arjuna learning divine weapons in Indraloka?,3.44,"['1.139', '3.38', '3.44']",True,3.0
Where does Indra instruct Arjuna in celestial warfare?,3.44,"['6.21', '3.174', '3.48']",False,
Where is the dialogue between Chitrasena and Urvashi found?,3.45,"['3.45', '1.4', '1.59']",True,1.0
Which chapter features Chitrasena’s discussion with Urvashi in heaven?,3.45,"['3.45', '1.4', '18.1']",True,1.0
Where does Urvashi approach Arjuna with desire and curse him upon rejection?,3.46,"['3.46', '8.71', '3.45']",True,1.0
Which chapter narrates Urvashi’s curse making Arjuna live as a eunuch?,3.46,"['3.46', '1.182', '1.180']",True,1.0
Which section narrates Lomasha meeting Arjuna and Indra in heaven?,3.47,"['3.130', '14.16', '3.91']",False,
Where does Lomasha carry Indra’s message to the Pandavas in Kamyakavana?,3.47,"['3.91', '3.125', '3.145']",False,
Which chapter shows Dhritarashtra expressing worry for his sons?,3.48,"['6.90', '15.2', '1.117']",False,
Where does Dhritarashtra confide his fears to Sanjaya?,3.48,"['5.71', '5.59', '7.11']",False,
Which section records Dhritarashtra’s anger during his discussion with Sanjaya?,3.49,"['9.32', '9.64', '7.202']",False,
Where does Sanjaya attempt to calm the worried Dhritarashtra?,3.49,"['7.94', '5.71', '7.202']",False,
Where is the description of the Pandavas’ diet during their forest exile?,3.50,"['3.258', '15.29', '3.50']",True,3.0
Which chapter mentions what food the Pandavas ate while in the forest?,3.50,"['3.258', '15.29', '3.50']",True,3.0
Where does Sanjaya tell Dhritarashtra about Krishna’s vow to destroy Duryodhana?,3.51,"['9.27', '5.71', '9.5']",False,
Which chapter contains the account of Krishna’s oath for the Pandavas’ revenge?,3.51,"['1.213', '3.311', '3.12']",False,
Where does Brihadashva narrate the story of Nala to Yudhishthira?,3.52,"['3.60', '3.76', '3.67']",False,
Which chapter describes Brihadashva meeting the Pandavas and beginning the Nalopakhyana?,3.52,"['1.165', '15.24', '1.218']",False,
Where is King Sagara’s penance to obtain children described?,3.106,"['15.20', '15.2', '1.115']",False,
Which chapter narrates Lord Shiva granting a boon to King Sagara?,3.106,"['3.40', '15.20', '5.18']",False,
Which section narrates the burning of King Sagara’s sixty thousand sons by Sage Kapila?,3.107,"['1.150', '1.148', '4.23']",False,
Where is the lineage from Sagara to Bhagiratha described in the Mahabharata?,3.107,"['3.106', '1.59', '1.5']",False,
Which chapter describes Bhagiratha’s penance to bring the Ganga to earth?,3.108,"['7.60', '1.214', '12.50']",False,
Where does Ganga grant Bhagiratha the boon to descend from heaven?,3.108,"['7.60', '1.96', '3.109']",False,
Where is the descent of Ganga from heaven to earth narrated?,3.109,"['3.109', '1.214', '7.60']",True,1.0
Which chapter describes the salvation of the sons of Sagara through Ganga’s descent?,3.109,"['7.60', '14.1', '1.214']",False,
Which chapter narrates King Lomapada’s efforts to bring Rishyashringa to his kingdom?,3.110,"['3.122', '3.91', '3.288']",False,
Where is the story of Rishyashringa and the greatness of Nanda and Kaushiki described?,3.110,"['1.1', '3.274', '3.113']",False,
Where does the prostitute seduce Rishyashringa to lure him away from his ashram?,3.111,"['3.111', '3.113', '1.71']",True,1.0
Which chapter shows Vibhandaka questioning the cause of his concern for Rishyashringa?,3.111,"['3.113', '15.13', '3.71']",False,
Which section contains Rishyashringa describing the appearance of the celibate woman to Vibhandaka?,3.112,"['1.122', '9.48', '3.113']",False,
Where does Rishyashringa narrate his encounter with the prostitute to his father?,3.112,"['1.83', '1.169', '1.4']",False,
Where is Rishyashringa’s marriage to King Lomapada’s daughter described?,3.113,"['3.122', '3.97', '3.111']",False,
Which chapter narrates Lomapada welcoming Sage Vibhandaka and earning his blessing?,3.113,"['14.16', '3.91', '16.7']",False,
"Which chapter narrates Yudhishthira’s pilgrimage through Kaushiki, Ganga Sagar, and Vaitarani?",3.114,"['3.140', '18.3', '18.2']",False,
Where is Yudhishthira’s journey to Mahendra Parvat mentioned?,3.114,"['18.3', '3.158', '3.52']",False,
Where is the story of Parashurama’s lineage beginning with Richika and Gadhikanya told?,3.115,"['3.274', '1.95', '12.173']",False,
Which chapter describes Jamadagni’s birth by the grace of Sage Bhrigu?,3.115,"['14.70', '3.116', '1.49']",False,
Where is Parashurama’s act of beheading his mother and reviving her described?,3.116,"['12.173', '3.138', '5.186']",False,
Which chapter narrates Parashurama’s battle with Kartavirya Arjuna?,3.116,"['14.83', '6.116', '14.74']",False,
Where is Parashurama’s destruction of the Kshatriyas twenty-one times described?,3.117,"['12.48', '3.11', '8.54']",False,
Which section mentions Yudhishthira worshipping Parashurama?,3.117,"['18.2', '18.3', '13.31']",False,
Which chapter tells the story of Ashtavakra’s birth and deformity?,3.132,"['3.132', '13.21', '13.20']",True,1.0
Where does Ashtavakra first visit King Janaka’s court?,3.132,"['12.326', '13.21', '14.59']",False,
Where does Ashtavakra converse with the gatekeeper before meeting King Janaka?,3.133,"['12.326', '3.133', '5.32']",True,2.0
Which chapter describes the dialogue between Ashtavakra and Janaka?,3.133,"['14.16', '3.134', '13.21']",False,
Which chapter narrates Ashtavakra’s debate with Bandi in King Janaka’s court?,3.134,"['3.134', '7.96', '12.326']",True,1.0
Where does Ashtavakra regain his normal form after bathing in the Samanga River?,3.134,"['13.21', '9.43', '3.132']",False,
Where does Bhima fight wild beasts and get caught by a giant serpent?,3.178,"['3.179', '3.180', '1.129']",False,
Which chapter describes Bhima’s encounter with the python in the forest?,3.178,"['1.151', '3.179', '3.151']",False,
Which chapter features Bhima’s conversation with Nahusha in serpent form?,3.179,"['3.180', '3.179', '3.66']",True,2.0
Where is Yudhishthira shown searching for Bhima after his capture?,3.179,"['1.129', '7.127', '18.2']",False,
Which section narrates Yudhishthira’s dialogue with Nahusha in serpent form?,3.180,"['3.180', '3.181', '8.66']",True,1.0
Where does Yudhishthira answer Nahusha’s questions to free Bhima?,3.180,"['7.127', '15.12', '7.52']",False,
Where does Nahusha get released from his serpent curse after Yudhishthira’s answers?,3.181,"['3.180', '13.100', '5.17']",False,
Which chapter ends the story of Nahusha’s liberation and Bhima’s release?,3.181,"['6.63', '10.1', '7.40']",False,
Which chapter describes Draupadi teaching Satyabhama about the duties of a virtuous wife?,3.233,"['3.233', '1.199', '4.19']",True,1.0
Where is the conversation between Draupadi and Satyabhama on chastity found?,3.233,"['3.233', '3.295', '4.19']",True,1.0
Which chapter explains how a wife can please her husband through devoted service?,3.234,"['3.234', '13.46', '12.144']",True,1.0
Where is the teaching on serving one’s husband with devotion described?,3.234,"['3.234', '13.19', '12.144']",True,1.0
Where does Satyabhama depart for Dwaraka with Shri Krishna?,3.235,"['5.7', '1.220', '5.59']",False,
Which section narrates Satyabhama assuring Draupadi before leaving?,3.235,"['7.126', '4.19', '7.130']",False,
Which chapter describes the birth of Shri Ram and the origin of Kubera?,3.274,"['3.23', '3.277', '1.109']",False,
Where is Kubera’s attainment of wealth narrated?,3.274,"['1.109', '14.63', '12.28']",False,
Where is Ravana’s origin and Kubera’s curse on him described?,3.275,"['3.274', '3.275', '1.6']",True,2.0
"Which section tells of the birth and penance of Ravana, Kumbhakarna, and Vibhishana?",3.275,"['3.274', '3.275', '11.9']",True,2.0
Which chapter narrates the gods appealing to Brahma to stop Ravana’s tyranny?,3.276,"['12.39', '3.278', '5.17']",False,
Where is the origin of the monkey and bear warriors described?,3.276,"['3.283', '3.286', '3.287']",False,
Which section tells about Ram’s exile and Bharata’s visit to Chitrakoot?,3.277,"['9.26', '7.194', '8.10']",False,
Where is the killing of Khar and Dushan described?,3.277,"['9.27', '8.92', '8.63']",False,
Where does Ravana abduct Sita after Maricha’s death?,3.278,"['3.281', '3.278', '3.291']",True,2.0
Which chapter narrates the killing of Maricha disguised as a deer?,3.278,"['3.184', '12.126', '3.258']",False,
Which section describes the killing of Jatayu and his funeral by Shri Ram?,3.279,"['7.51', '4.23', '8.92']",False,
Where does Kabandha’s story and his killing by Ram appear?,3.279,"['8.63', '8.95', '7.41']",False,
Which chapter narrates the alliance between Rama and Sugriva and the killing of Vali?,3.280,"['3.280', '16.4', '16.1']",True,1.0
Where is Trijata comforting Sita in Ashok Vatika described?,3.280,"['3.291', '3.295', '9.36']",False,
Where does the dialogue between Ravana and Sita take place in Lanka?,3.281,"['3.148', '3.291', '3.284']",False,
Which chapter records Ravana’s persuasion and Sita’s steadfast refusal?,3.281,"['3.148', '3.281', '3.291']",True,2.0
Which chapter narrates Hanuman’s return from Lanka and recounting his journey?,3.282,"['3.148', '3.147', '3.280']",False,
Where does Sugriva send the monkey army to search for Sita?,3.282,"['3.148', '3.287', '3.282']",True,3.0
Which section describes the building of the bridge to Lanka?,3.283,"['3.284', '6.6', '1.149']",False,
Where is Angada’s embassy to Ravana mentioned?,3.283,"['3.284', '3.281', '3.67']",False,
Which chapter depicts Angada delivering Ram’s message to Ravana?,3.284,"['8.18', '7.159', '9.34']",False,
Where is the battle between the Vanaras and Rakshasas narrated?,3.284,"['6.2', '7.179', '16.1']",False,
Which chapter narrates Swaha’s union with Agni taking the form of sages’ wives?,3.224,"['3.225', '3.46', '4.15']",False,
Where is the story of Agni’s union with Swaha described?,3.224,"['3.217', '1.23', '3.225']",False,
Which chapter describes the birth of Skanda (Kartikeya)?,3.225,"['3.228', '3.229', '3.230']",False,
Where is the destruction of mountains like Krauncha by Skanda mentioned?,3.225,"['3.11', '16.1', '3.171']",False,
Where is Vishwamitra performing the sacred rites for Skanda described?,3.226,"['9.42', '9.55', '9.54']",False,
Which chapter mentions Agnidev protecting the child Skanda?,3.226,"['3.228', '3.231', '9.44']",False,
Where does Skanda grant protection to Indra and the other gods after their defeat?,3.227,"['3.229', '5.12', '5.18']",False,
Which section narrates the gods seeking refuge in Skanda?,3.227,"['3.228', '12.327', '5.99']",False,
Which chapter tells of Skanda being made the commander of the gods?,3.229,"['3.229', '3.228', '9.44']",True,1.0
Where is Skanda’s marriage to Devasena described?,3.229,"['3.228', '3.224', '1.82']",False,
Which chapter explains how the Krittikas became stars in the sky?,3.230,"['3.230', '18.4', '3.227']",True,1.0
Where is the description of planets causing troubles to humans found?,3.230,"['6.3', '5.143', '5.84']",False,
Where is Skanda’s battle with Mahishasura narrated?,3.231,"['7.39', '3.271', '9.10']",False,
Which chapter mentions Skanda’s journey with Rudra and the gods?,3.231,"['3.228', '3.229', '3.231']",True,3.0
Which section lists the many names and titles of Kartikeya?,3.232,"['3.232', '1.35', '3.265']",True,1.0
Where is the praise and glorification of Kartikeya described?,3.232,"['3.232', '3.265', '7.4']",True,1.0
Which chapter narrates the great battle between Rama and Ravana’s armies?,3.285,"['9.35', '3.285', '3.290']",True,2.0
Where is the clash of the Vanara and Rakshasa forces described?,3.285,"['6.94', '3.285', '7.179']",True,2.0
Where does Ravana awaken Kumbhakarna for battle?,3.286,"['9.55', '3.288', '7.187']",False,
Which section describes Ravana’s grief over Prahastha and Dhumraksha’s deaths?,3.286,"['1.9', '7.59', '7.181']",False,
Which chapter depicts the killing of Kumbhakarna by Shri Ram?,3.287,"['16.4', '8.54', '8.92']",False,
Where are Vajravega and Pramathika slain in battle?,3.287,"['15.32', '8.5', '7.30']",False,
Where does Indrajit use illusion in battle against Rama and Lakshmana?,3.288,"['9.31', '3.288', '3.289']",True,2.0
Which chapter narrates Rama and Lakshmana becoming unconscious in Indrajit’s attack?,3.288,"['16.4', '3.288', '9.60']",True,2.0
Which chapter describes Lakshmana killing Indrajit?,3.289,"['3.288', '7.30', '9.10']",False,
Where does Avindhya restrain Ravana from killing Sita?,3.289,"['3.291', '3.281', '3.279']",False,
Which chapter recounts the final duel between Rama and Ravana?,3.290,"['9.35', '7.59', '3.285']",False,
Where is Ravana’s death at Rama’s hands described?,3.290,"['7.59', '3.274', '3.278']",False,
Which chapter narrates Sita’s trial by fire and divine vindication?,3.291,"['3.282', '3.148', '3.291']",True,3.0
Where does Rama return to Ayodhya and reunite with Bharata?,3.291,"['3.274', '3.291', '9.35']",True,2.0
Where does Sage Markandeya console or reassure Yudhishthira?,3.292,"['3.6', '13.1', '3.159']",False,
Which section contains Markandeya’s counsel to Yudhishthira during exile?,3.292,"['14.2', '11.12', '14.87']",False,
Which chapter tells of King Aswapati’s boon of a daughter Savitri?,3.293,"['1.16', '3.293', '5.104']",True,2.0
Where is Aswapati’s search for a suitable husband for Savitri described?,3.293,"['1.16', '3.294', '1.46']",False,
Which chapter narrates Savitri’s decision to marry Satyavan?,3.294,"['3.295', '3.296', '3.298']",False,
Where does Savitri express her firm resolve to wed Satyavan despite warnings?,3.294,"['3.296', '3.295', '3.297']",False,
Which chapter narrates the wedding of Savitri and Satyavan?,3.295,"['5.174', '3.296', '3.295']",True,3.0
Where is the account of Savitri’s devoted service to her family found?,3.295,"['3.293', '3.296', '1.1']",False,
Which chapter depicts Savitri’s vow and her journey to the forest with Satyavan?,3.296,"['3.296', '3.295', '3.298']",True,1.0
Where is Savitri’s act of fasting before accompanying Satyavan described?,3.296,"['3.296', '3.297', '3.298']",True,1.0
Which chapter contains the dialogue between Savitri and Yama?,3.297,"['3.297', '1.1', '1.191']",True,1.0
Where does Yama restore Satyavan’s life and bless Savitri?,3.297,"['3.297', '3.298', '7.71']",True,1.0
Which chapter describes Dyumatsena’s concern for his son Satyavan?,3.298,"['3.298', '7.110', '3.8']",True,1.0
Where does Savitri explain the cause of her delayed return with Satyavan?,3.298,"['3.296', '3.298', '3.297']",True,2.0
Where does Dyumatsena regain his kingdom with the people’s request?,3.299,"['3.299', '5.4', '4.35']",True,1.0
Which chapter describes the blessings of Savitri’s hundred sons and brothers?,3.299,"['15.33', '5.1', '3.128']",False,
Which chapter describes Surya warning Karna about Indra’s visit?,3.300,"['5.146', '5.145', '8.68']",False,
Where does Karna insist on giving away his divine armor and earrings?,3.300,"['12.5', '5.145', '3.310']",False,
Which chapter describes Surya warning Karna against giving his earrings to Indra?,3.301,"['5.145', '5.146', '3.300']",False,
Where does Surya advise Karna to keep his divine armor and earrings?,3.301,"['5.145', '3.302', '12.5']",False,
Which chapter narrates the dialogue between Surya and Karna?,3.302,"['5.146', '5.145', '12.6']",False,
Where does Karna resolve to part with his armor only after gaining a boon from Indra?,3.302,"['12.5', '5.145', '11.21']",False,
Where does Sage Durvasa arrive at Kuntibhoja’s court?,3.303,"['5.32', '1.220', '15.16']",False,
Which chapter describes Kuntibhoja assigning Pritha (Kunti) to serve Durvasa?,3.303,"['3.305', '1.199', '3.304']",False,
Which chapter narrates Kunti’s conversation with her father about Durvasa’s visit?,3.304,"['15.18', '15.16', '14.88']",False,
Where is Kunti’s service to the Brahmin guest described?,3.304,"['3.304', '3.303', '1.157']",True,1.0
Where does Durvasa teach Kunti the divine mantra as a reward for her service?,3.305,"['15.30', '3.304', '1.199']",False,
Which section describes the Brahmin granting Kunti a boon for her devotion?,3.305,"['3.304', '3.303', '15.17']",False,
Which chapter describes Kunti invoking the Sun God through the mantra?,3.306,"['15.30', '3.306', '3.304']",True,2.0
Where is the dialogue between Kunti and Surya narrated?,3.306,"['1.191', '15.16', '3.304']",False,
Where does Surya bless Kunti and cause her to conceive Karna?,3.307,"['5.146', '5.145', '3.308']",False,
Which chapter narrates the divine conception of Karna by Kunti and Surya?,3.307,"['5.145', '5.146', '5.140']",False,
Which chapter tells of Karna’s birth and Kunti setting him afloat in the river?,3.308,"['1.137', '5.145', '11.27']",False,
Where does Kunti grieve after abandoning her infant son Karna?,3.308,"['5.145', '2.79', '5.141']",False,
Which chapter describes Karna’s adoption by Adhiratha and Radha?,3.309,"['5.145', '5.141', '1.137']",False,
Where is Indra’s arrival to meet Karna mentioned?,3.309,"['5.12', '5.145', '3.224']",False,
Where does Indra receive Karna’s divine armor and earrings in exchange for a boon?,3.310,"['3.310', '3.174', '12.5']",True,1.0
Which chapter narrates Indra blessing Karna with the Vasavi Shakti weapon?,3.310,"['8.74', '12.2', '7.184']",False,
Which chapter narrates the Pandavas chasing a deer that stole the Brahmin’s firewood?,3.311,"['3.258', '3.311', '1.118']",True,2.0
Where is the incident leading to the Yaksha’s lake described?,3.311,"['3.153', '3.312', '3.154']",False,
Where do the Pandavas fall unconscious one after another by the lake?,3.312,"['15.24', '3.258', '9.30']",False,
Which section precedes Yudhishthira’s encounter with the Yaksha?,3.312,"['18.3', '18.2', '5.153']",False,
Which chapter contains the dialogue between Yaksha and Yudhishthira?,3.313,"['8.66', '18.3', '18.2']",False,
Where does Yaksha restore the lives of the Pandavas after being pleased with Yudhishthira’s answers?,3.313,"['3.314', '3.52', '3.7']",False,
Which section includes Yudhishthira’s famous philosophical responses to Yaksha?,3.313,"['12.201', '12.290', '12.129']",False,
