query,ground_truth,top_ids,correct_in_top_k,rank_of_correct
Where is Yudhishthira encouraged to take up arms against his enemies?,3.33,"['12.100', '12.27', '5.26']",False,
Where does Yudhishthira reaffirm his vow to follow dharma in the forest?,3.34,"['12.9', '15.8', '3.256']",False,
Which chapter introduces the Nalopakhyana Parva with teachings on dharma and conduct?,3.34,"['5.108', '14.16', '12.23']",False,
Where does Bhima urge Yudhishthira to fight despite their misfortunes?,3.35,"['7.127', '1.155', '1.129']",False,
Which section shows Bhimasena expressing frustration at Yudhishthira’s patience?,3.35,"['3.161', '3.141', '14.87']",False,
Which chapter records Vyasa teaching Pratismriti Vidya to Yudhishthira?,3.36,"['15.29', '3.158', '15.8']",False,
Where does Vyasa meet the Pandavas and guide them before returning to Kamyakavana?,3.36,"['3.258', '3.5', '1.156']",False,
Where does Arjuna travel to Indrakil mountain and meet Indra?,3.37,"['1.218', '7.89', '14.83']",False,
Which section begins the Kairata Parva and Arjuna’s quest for divine weapons?,3.37,"['3.168', '3.171', '7.81']",False,
Which chapter describes Arjuna’s severe penance to please Lord Shiva?,3.38,"['16.8', '7.79', '3.171']",False,
Where do sages discuss Arjuna’s tapasya with Lord Shankar?,3.38,"['14.16', '3.168', '8.71']",False,
Where is Arjuna’s stotra or hymn in praise of Lord Shiva found?,3.39,"['6.23', '3.168', '7.79']",False,
Which section narrates Arjuna’s prayer to Lord Shiva before receiving a boon?,3.39,"['3.168', '7.79', '6.122']",False,
Which chapter narrates Shiva granting a boon to Arjuna?,3.40,"['7.79', '16.8', '3.168']",False,
Where does Lord Shankar bless Arjuna with divine weapons and depart?,3.40,"['3.168', '8.81', '8.65']",False,
Which section describes the Dikpalas gifting divine weapons to Arjuna?,3.41,"['3.174', '3.168', '7.19']",False,
Where is Arjuna instructed by Indra to ascend to heaven?,3.41,"['3.168', '3.174', '3.171']",False,
Where does Arjuna ascend to heaven with Matali as his charioteer?,3.42,"['3.42', '3.165', '3.170']",True,1.0
Which chapter describes Arjuna’s journey from the Himalayas to Indraloka?,3.42,"['7.89', '8.81', '2.27']",False,
Where is Arjuna’s meeting with Devraj Indra described?,3.43,"['7.30', '7.84', '6.91']",False,
Which chapter mentions Indra sending a maiden to Kundinpur?,3.43,"['1.112', '1.124', '3.224']",False,
Which section describes Arjuna learning divine weapons in Indraloka?,3.44,"['3.174', '3.172', '3.168']",False,
Where does Indra instruct Arjuna in celestial warfare?,3.44,"['3.174', '3.37', '3.168']",False,
Where is the dialogue between Chitrasena and Urvashi found?,3.45,"['3.45', '6.87', '5.147']",True,1.0
Which chapter features Chitrasena’s discussion with Urvashi in heaven?,3.45,"['3.45', '12.200', '6.87']",True,1.0
Where does Urvashi approach Arjuna with desire and curse him upon rejection?,3.46,"['3.45', '1.182', '3.171']",False,
Which chapter narrates Urvashi’s curse making Arjuna live as a eunuch?,3.46,"['4.45', '1.182', '3.45']",False,
Which section narrates Lomasha meeting Arjuna and Indra in heaven?,3.47,"['3.47', '3.130', '3.129']",True,1.0
Where does Lomasha carry Indra’s message to the Pandavas in Kamyakavana?,3.47,"['3.91', '3.101', '3.125']",False,
Which chapter shows Dhritarashtra expressing worry for his sons?,3.48,"['6.90', '6.65', '9.2']",False,
Where does Dhritarashtra confide his fears to Sanjaya?,3.48,"['5.59', '5.69', '10.6']",False,
Which section records Dhritarashtra’s anger during his discussion with Sanjaya?,3.49,"['6.59', '10.6', '6.49']",False,
Where does Sanjaya attempt to calm the worried Dhritarashtra?,3.49,"['5.69', '10.6', '6.62']",False,
Where is the description of the Pandavas’ diet during their forest exile?,3.50,"['3.262', '3.50', '3.258']",True,2.0
Which chapter mentions what food the Pandavas ate while in the forest?,3.50,"['3.262', '1.152', '3.50']",True,3.0
Where does Sanjaya tell Dhritarashtra about Krishna’s vow to destroy Duryodhana?,3.51,"['9.27', '7.151', '6.62']",False,
Which chapter contains the account of Krishna’s oath for the Pandavas’ revenge?,3.51,"['3.311', '1.213', '3.12']",False,
Where does Brihadashva narrate the story of Nala to Yudhishthira?,3.52,"['3.61', '3.73', '3.67']",False,
Which chapter describes Brihadashva meeting the Pandavas and beginning the Nalopakhyana?,3.52,"['15.24', '1.165', '3.64']",False,
Where is King Sagara’s penance to obtain children described?,3.106,"['12.122', '5.118', '2.18']",False,
Which chapter narrates Lord Shiva granting a boon to King Sagara?,3.106,"['1.33', '14.66', '1.173']",False,
Which section narrates the burning of King Sagara’s sixty thousand sons by Sage Kapila?,3.107,"['15.38', '1.150', '1.148']",False,
Where is the lineage from Sagara to Bhagiratha described in the Mahabharata?,3.107,"['3.106', '7.60', '3.107']",True,3.0
Which chapter describes Bhagiratha’s penance to bring the Ganga to earth?,3.108,"['7.60', '3.109', '3.106']",False,
Where does Ganga grant Bhagiratha the boon to descend from heaven?,3.108,"['3.109', '7.60', '3.108']",True,3.0
Where is the descent of Ganga from heaven to earth narrated?,3.109,"['3.109', '1.96', '3.114']",True,1.0
Which chapter describes the salvation of the sons of Sagara through Ganga’s descent?,3.109,"['7.60', '11.27', '3.1']",False,
Which chapter narrates King Lomapada’s efforts to bring Rishyashringa to his kingdom?,3.110,"['3.125', '3.106', '3.107']",False,
Where is the story of Rishyashringa and the greatness of Nanda and Kaushiki described?,3.110,"['3.112', '1.1', '12.49']",False,
Where does the prostitute seduce Rishyashringa to lure him away from his ashram?,3.111,"['3.112', '13.20', '3.111']",True,3.0
Which chapter shows Vibhandaka questioning the cause of his concern for Rishyashringa?,3.111,"['3.113', '3.112', '5.130']",False,
Which section contains Rishyashringa describing the appearance of the celibate woman to Vibhandaka?,3.112,"['3.113', '3.112', '4.9']",True,2.0
Where does Rishyashringa narrate his encounter with the prostitute to his father?,3.112,"['3.112', '1.178', '12.127']",True,1.0
Where is Rishyashringa’s marriage to King Lomapada’s daughter described?,3.113,"['3.123', '7.55', '3.97']",False,
Which chapter narrates Lomapada welcoming Sage Vibhandaka and earning his blessing?,3.113,"['3.183', '2.2', '3.5']",False,
"Which chapter narrates Yudhishthira’s pilgrimage through Kaushiki, Ganga Sagar, and Vaitarani?",3.114,"['3.158', '15.37', '3.140']",False,
Where is Yudhishthira’s journey to Mahendra Parvat mentioned?,3.114,"['3.158', '6.85', '3.140']",False,
Where is the story of Parashurama’s lineage beginning with Richika and Gadhikanya told?,3.115,"['1.178', '1.105', '14.4']",False,
Which chapter describes Jamadagni’s birth by the grace of Sage Bhrigu?,3.115,"['13.96', '3.116', '12.127']",False,
Where is Parashurama’s act of beheading his mother and reviving her described?,3.116,"['1.178', '12.258', '12.173']",False,
Which chapter narrates Parashurama’s battle with Kartavirya Arjuna?,3.116,"['8.16', '14.76', '14.77']",False,
Where is Parashurama’s destruction of the Kshatriyas twenty-one times described?,3.117,"['14.77', '12.48', '1.181']",False,
Which section mentions Yudhishthira worshipping Parashurama?,3.117,"['3.14', '18.3', '18.2']",False,
Which chapter tells the story of Ashtavakra’s birth and deformity?,3.132,"['13.21', '3.134', '3.132']",True,3.0
Where does Ashtavakra first visit King Janaka’s court?,3.132,"['13.21', '3.303', '5.86']",False,
Where does Ashtavakra converse with the gatekeeper before meeting King Janaka?,3.133,"['3.133', '5.32', '13.21']",True,1.0
Which chapter describes the dialogue between Ashtavakra and Janaka?,3.133,"['14.16', '13.21', '3.311']",False,
Which chapter narrates Ashtavakra’s debate with Bandi in King Janaka’s court?,3.134,"['3.134', '13.21', '12.54']",True,1.0
Where does Ashtavakra regain his normal form after bathing in the Samanga River?,3.134,"['13.21', '3.83', '3.132']",False,
Where does Bhima fight wild beasts and get caught by a giant serpent?,3.178,"['3.180', '3.179', '5.51']",False,
Which chapter describes Bhima’s encounter with the python in the forest?,3.178,"['3.178', '3.11', '1.151']",True,1.0
Which chapter features Bhima’s conversation with Nahusha in serpent form?,3.179,"['3.180', '3.179', '3.161']",True,2.0
Where is Yudhishthira shown searching for Bhima after his capture?,3.179,"['1.129', '13.53', '7.127']",False,
Which section narrates Yudhishthira’s dialogue with Nahusha in serpent form?,3.180,"['3.180', '3.179', '3.14']",True,1.0
Where does Yudhishthira answer Nahusha’s questions to free Bhima?,3.180,"['3.180', '7.127', '13.100']",True,1.0
Where does Nahusha get released from his serpent curse after Yudhishthira’s answers?,3.181,"['3.180', '13.100', '3.179']",False,
Which chapter ends the story of Nahusha’s liberation and Bhima’s release?,3.181,"['1.129', '3.161', '4.21']",False,
Which chapter describes Draupadi teaching Satyabhama about the duties of a virtuous wife?,3.233,"['3.233', '3.234', '4.19']",True,1.0
Where is the conversation between Draupadi and Satyabhama on chastity found?,3.233,"['3.233', '3.27', '5.59']",True,1.0
Which chapter explains how a wife can please her husband through devoted service?,3.234,"['3.234', '12.144', '13.46']",True,1.0
Where is the teaching on serving one’s husband with devotion described?,3.234,"['12.359', '12.243', '12.193']",False,
Where does Satyabhama depart for Dwaraka with Shri Krishna?,3.235,"['3.235', '3.20', '2.2']",True,1.0
Which section narrates Satyabhama assuring Draupadi before leaving?,3.235,"['3.233', '3.27', '4.19']",False,
Which chapter describes the birth of Shri Ram and the origin of Kubera?,3.274,"['3.277', '12.231', '1.68']",False,
Where is Kubera’s attainment of wealth narrated?,3.274,"['5.114', '3.162', '1.68']",False,
Where is Ravana’s origin and Kubera’s curse on him described?,3.275,"['3.275', '1.6', '3.274']",True,1.0
"Which section tells of the birth and penance of Ravana, Kumbhakarna, and Vibhishana?",3.275,"['1.68', '1.1', '1.4']",False,
Which chapter narrates the gods appealing to Brahma to stop Ravana’s tyranny?,3.276,"['12.39', '13.35', '5.13']",False,
Where is the origin of the monkey and bear warriors described?,3.276,"['3.287', '3.283', '3.286']",False,
Which section tells about Ram’s exile and Bharata’s visit to Chitrakoot?,3.277,"['3.277', '6.119', '5.59']",True,1.0
Where is the killing of Khar and Dushan described?,3.277,"['9.27', '9.61', '9.8']",False,
Where does Ravana abduct Sita after Maricha’s death?,3.278,"['3.278', '3.280', '3.281']",True,1.0
Which chapter narrates the killing of Maricha disguised as a deer?,3.278,"['3.278', '3.184', '3.39']",True,1.0
Which section describes the killing of Jatayu and his funeral by Shri Ram?,3.279,"['11.24', '8.96', '4.23']",False,
Where does Kabandha’s story and his killing by Ram appear?,3.279,"['8.96', '8.93', '8.63']",False,
Which chapter narrates the alliance between Rama and Sugriva and the killing of Vali?,3.280,"['3.280', '3.274', '16.4']",True,1.0
Where is Trijata comforting Sita in Ashok Vatika described?,3.280,"['3.281', '3.6', '3.233']",False,
Where does the dialogue between Ravana and Sita take place in Lanka?,3.281,"['3.148', '3.284', '3.280']",False,
Which chapter records Ravana’s persuasion and Sita’s steadfast refusal?,3.281,"['3.278', '3.281', '3.282']",True,2.0
Which chapter narrates Hanuman’s return from Lanka and recounting his journey?,3.282,"['3.148', '3.151', '3.147']",False,
Where does Sugriva send the monkey army to search for Sita?,3.282,"['3.148', '3.280', '3.287']",False,
Which section describes the building of the bridge to Lanka?,3.283,"['3.284', '6.11', '1.21']",False,
Where is Angada’s embassy to Ravana mentioned?,3.283,"['3.284', '3.281', '3.156']",False,
Which chapter depicts Angada delivering Ram’s message to Ravana?,3.284,"['8.79', '9.10', '8.64']",False,
Where is the battle between the Vanaras and Rakshasas narrated?,3.284,"['6.94', '4.32', '8.75']",False,
Which chapter narrates Swaha’s union with Agni taking the form of sages’ wives?,3.224,"['3.225', '3.226', '1.23']",False,
Where is the story of Agni’s union with Swaha described?,3.224,"['12.342', '3.217', '1.234']",False,
Which chapter describes the birth of Skanda (Kartikeya)?,3.225,"['3.228', '3.231', '3.229']",False,
Where is the destruction of mountains like Krauncha by Skanda mentioned?,3.225,"['12.327', '3.227', '14.77']",False,
Where is Vishwamitra performing the sacred rites for Skanda described?,3.226,"['15.19', '1.175', '2.39']",False,
Which chapter mentions Agnidev protecting the child Skanda?,3.226,"['3.231', '3.228', '3.227']",False,
Where does Skanda grant protection to Indra and the other gods after their defeat?,3.227,"['3.229', '3.227', '5.18']",True,2.0
Which section narrates the gods seeking refuge in Skanda?,3.227,"['3.228', '5.13', '1.25']",False,
Which chapter tells of Skanda being made the commander of the gods?,3.229,"['3.230', '3.229', '3.228']",True,2.0
Where is Skanda’s marriage to Devasena described?,3.229,"['3.228', '3.224', '3.231']",False,
Which chapter explains how the Krittikas became stars in the sky?,3.230,"['3.230', '3.265', '9.21']",True,1.0
Where is the description of planets causing troubles to humans found?,3.230,"['6.3', '3.103', '1.21']",False,
Where is Skanda’s battle with Mahishasura narrated?,3.231,"['3.227', '3.228', '14.77']",False,
Which chapter mentions Skanda’s journey with Rudra and the gods?,3.231,"['3.231', '3.228', '3.229']",True,1.0
Which section lists the many names and titles of Kartikeya?,3.232,"['9.45', '3.232', '3.265']",True,2.0
Where is the praise and glorification of Kartikeya described?,3.232,"['3.232', '7.181', '1.137']",True,1.0
Which chapter narrates the great battle between Rama and Ravana’s armies?,3.285,"['3.285', '9.35', '9.34']",True,1.0
Where is the clash of the Vanara and Rakshasa forces described?,3.285,"['6.94', '1.181', '8.75']",False,
Where does Ravana awaken Kumbhakarna for battle?,3.286,"['3.288', '3.285', '3.83']",False,
Which section describes Ravana’s grief over Prahastha and Dhumraksha’s deaths?,3.286,"['7.77', '1.9', '12.29']",False,
Which chapter depicts the killing of Kumbhakarna by Shri Ram?,3.287,"['11.24', '4.54', '16.4']",False,
Where are Vajravega and Pramathika slain in battle?,3.287,"['8.5', '8.6', '7.10']",False,
Where does Indrajit use illusion in battle against Rama and Lakshmana?,3.288,"['3.288', '3.289', '9.31']",True,1.0
Which chapter narrates Rama and Lakshmana becoming unconscious in Indrajit’s attack?,3.288,"['3.288', '3.289', '16.4']",True,1.0
Which chapter describes Lakshmana killing Indrajit?,3.289,"['3.288', '3.287', '7.30']",False,
Where does Avindhya restrain Ravana from killing Sita?,3.289,"['3.291', '3.281', '3.284']",False,
Which chapter recounts the final duel between Rama and Ravana?,3.290,"['9.35', '9.34', '5.181']",False,
Where is Ravana’s death at Rama’s hands described?,3.290,"['3.278', '3.274', '7.59']",False,
Which chapter narrates Sita’s trial by fire and divine vindication?,3.291,"['3.281', '3.284', '9.13']",False,
Where does Rama return to Ayodhya and reunite with Bharata?,3.291,"['3.274', '3.115', '3.148']",False,
Where does Sage Markandeya console or reassure Yudhishthira?,3.292,"['3.203', '3.188', '3.281']",False,
Which section contains Markandeya’s counsel to Yudhishthira during exile?,3.292,"['3.206', '3.299', '3.297']",False,
Which chapter tells of King Aswapati’s boon of a daughter Savitri?,3.293,"['3.293', '1.58', '1.16']",True,1.0
Where is Aswapati’s search for a suitable husband for Savitri described?,3.293,"['3.224', '1.48', '1.46']",False,
Which chapter narrates Savitri’s decision to marry Satyavan?,3.294,"['3.296', '3.294', '1.8']",True,2.0
Where does Savitri express her firm resolve to wed Satyavan despite warnings?,3.294,"['3.296', '3.298', '3.295']",False,
Which chapter narrates the wedding of Savitri and Satyavan?,3.295,"['3.296', '1.1', '1.44']",False,
Where is the account of Savitri’s devoted service to her family found?,3.295,"['3.293', '3.296', '9.38']",False,
Which chapter depicts Savitri’s vow and her journey to the forest with Satyavan?,3.296,"['3.296', '3.294', '7.141']",True,1.0
Where is Savitri’s act of fasting before accompanying Satyavan described?,3.296,"['3.296', '3.297', '13.106']",True,1.0
Which chapter contains the dialogue between Savitri and Yama?,3.297,"['3.297', '13.68', '12.199']",True,1.0
Where does Yama restore Satyavan’s life and bless Savitri?,3.297,"['3.297', '3.298', '3.296']",True,1.0
Which chapter describes Dyumatsena’s concern for his son Satyavan?,3.298,"['3.295', '3.294', '7.115']",False,
Where does Savitri explain the cause of her delayed return with Satyavan?,3.298,"['3.296', '3.294', '3.298']",True,3.0
Where does Dyumatsena regain his kingdom with the people’s request?,3.299,"['3.299', '3.295', '3.237']",True,1.0
Which chapter describes the blessings of Savitri’s hundred sons and brothers?,3.299,"['1.116', '1.66', '1.1']",False,
Which chapter describes Surya warning Karna about Indra’s visit?,3.300,"['8.96', '8.68', '8.49']",False,
Where does Karna insist on giving away his divine armor and earrings?,3.300,"['3.303', '3.310', '3.302']",False,
Which chapter describes Surya warning Karna against giving his earrings to Indra?,3.301,"['3.300', '3.302', '7.134']",False,
Where does Surya advise Karna to keep his divine armor and earrings?,3.301,"['3.303', '3.302', '3.301']",True,3.0
Which chapter narrates the dialogue between Surya and Karna?,3.302,"['12.6', '8.96', '7.174']",False,
Where does Karna resolve to part with his armor only after gaining a boon from Indra?,3.302,"['12.5', '8.96', '7.174']",False,
Where does Sage Durvasa arrive at Kuntibhoja’s court?,3.303,"['15.30', '1.112', '15.19']",False,
Which chapter describes Kuntibhoja assigning Pritha (Kunti) to serve Durvasa?,3.303,"['1.112', '3.304', '3.305']",False,
Which chapter narrates Kunti’s conversation with her father about Durvasa’s visit?,3.304,"['15.30', '5.133', '1.112']",False,
Where is Kunti’s service to the Brahmin guest described?,3.304,"['3.305', '3.304', '3.303']",True,2.0
Where does Durvasa teach Kunti the divine mantra as a reward for her service?,3.305,"['15.30', '3.306', '3.304']",False,
Which section describes the Brahmin granting Kunti a boon for her devotion?,3.305,"['15.30', '3.305', '3.304']",True,2.0
Which chapter describes Kunti invoking the Sun God through the mantra?,3.306,"['3.306', '1.111', '15.30']",True,1.0
Where is the dialogue between Kunti and Surya narrated?,3.306,"['5.133', '3.306', '15.30']",True,2.0
Where does Surya bless Kunti and cause her to conceive Karna?,3.307,"['3.306', '3.307', '15.30']",True,2.0
Which chapter narrates the divine conception of Karna by Kunti and Surya?,3.307,"['5.145', '1.136', '3.306']",False,
Which chapter tells of Karna’s birth and Kunti setting him afloat in the river?,3.308,"['1.137', '1.136', '11.27']",False,
Where does Kunti grieve after abandoning her infant son Karna?,3.308,"['5.145', '15.18', '5.136']",False,
Which chapter describes Karna’s adoption by Adhiratha and Radha?,3.309,"['5.145', '7.137', '5.141']",False,
Where is Indra’s arrival to meet Karna mentioned?,3.309,"['8.96', '8.68', '7.174']",False,
Where does Indra receive Karna’s divine armor and earrings in exchange for a boon?,3.310,"['3.310', '3.303', '3.229']",True,1.0
Which chapter narrates Indra blessing Karna with the Vasavi Shakti weapon?,3.310,"['8.96', '7.134', '7.174']",False,
Which chapter narrates the Pandavas chasing a deer that stole the Brahmin’s firewood?,3.311,"['3.311', '1.213', '3.258']",True,1.0
Where is the incident leading to the Yaksha’s lake described?,3.311,"['3.153', '3.136', '3.312']",False,
Where do the Pandavas fall unconscious one after another by the lake?,3.312,"['3.258', '3.236', '15.24']",False,
Which section precedes Yudhishthira’s encounter with the Yaksha?,3.312,"['3.158', '3.314', '13.68']",False,
Which chapter contains the dialogue between Yaksha and Yudhishthira?,3.313,"['13.68', '3.158', '3.314']",False,
Where does Yaksha restore the lives of the Pandavas after being pleased with Yudhishthira’s answers?,3.313,"['3.314', '3.258', '3.158']",False,
Which section includes Yudhishthira’s famous philosophical responses to Yaksha?,3.313,"['3.314', '13.68', '3.158']",False,
